コード,市などの別,都道府県,市区町村,年,総数,"総人口指数
（2020年＝100）",0～14歳割合(%),15～64歳割合(%),65歳以上割合(%),65～74歳割合(%),75歳以上割合(%)
,,,,,,,,,,,
13000,a,東京都,,2020年,14047594,100.0,11.2,66.1,22.7,10.7,12.1
13000,a,東京都,,2025年,14198914,101.1,10.7,66.5,22.8,9.3,13.5
13000,a,東京都,,2030年,14348591,102.1,10.3,66.1,23.6,10.0,13.5
13000,a,東京都,,2035年,14458983,102.9,10.1,64.7,25.2,11.8,13.3
13000,a,東京都,,2040年,14507419,103.3,10.2,62.5,27.3,13.3,14.0
13000,a,東京都,,2045年,14482741,103.1,10.2,61.2,28.6,13.1,15.5
13000,a,東京都,,2050年,14399144,102.5,10.0,60.4,29.6,12.1,17.5
13101,0,東京都,千代田区,2020年,66680,100.0,13.5,70.2,16.4,7.8,8.5
13101,0,東京都,千代田区,2025年,69781,104.7,13.7,70.1,16.1,6.9,9.2
13101,0,東京都,千代田区,2030年,73265,109.9,13.1,70.0,16.9,8.0,8.9
13101,0,東京都,千代田区,2035年,75964,113.9,12.6,69.2,18.3,9.3,8.9
13101,0,東京都,千代田区,2040年,77961,116.9,12.6,67.1,20.3,10.6,9.7
13101,0,東京都,千代田区,2045年,79221,118.8,12.6,65.2,22.2,11.2,11.0
13101,0,東京都,千代田区,2050年,79828,119.7,12.3,63.9,23.8,10.9,12.9
13102,0,東京都,中央区,2020年,169179,100.0,13.6,71.7,14.6,7.2,7.4
13102,0,東京都,中央区,2025年,180892,106.9,13.9,71.1,15.0,6.6,8.4
13102,0,東京都,中央区,2030年,190062,112.3,13.3,70.1,16.6,8.2,8.4
13102,0,東京都,中央区,2035年,198061,117.1,12.7,68.4,18.9,10.2,8.7
13102,0,東京都,中央区,2040年,204407,120.8,12.7,65.6,21.7,11.8,9.9
13102,0,東京都,中央区,2045年,208688,123.4,12.7,63.5,23.9,12.1,11.8
13102,0,東京都,中央区,2050年,210897,124.7,12.5,61.9,25.6,11.5,14.1
13103,0,東京都,港区,2020年,260486,100.0,13.3,69.9,16.7,8.2,8.5
13103,0,東京都,港区,2025年,269627,103.5,13.4,70.0,16.5,7.3,9.3
13103,0,東京都,港区,2030年,283075,108.7,12.8,69.7,17.5,8.4,9.1
13103,0,東京都,港区,2035年,294403,113.0,12.5,68.3,19.2,10.0,9.2
13103,0,東京都,港区,2040年,303333,116.4,12.6,66.1,21.4,11.4,10.0
13103,0,東京都,港区,2045年,309348,118.8,12.6,64.4,23.0,11.5,11.4
13103,0,東京都,港区,2050年,312556,120.0,12.4,63.3,24.3,11.0,13.3
13104,0,東京都,新宿区,2020年,349385,100.0,8.4,72.2,19.4,9.2,10.3
13104,0,東京都,新宿区,2025年,357875,102.4,8.3,72.8,18.9,7.9,10.9
13104,0,東京都,新宿区,2030年,362247,103.7,8.2,72.5,19.3,8.6,10.6
13104,0,東京都,新宿区,2035年,366285,104.8,8.1,71.5,20.3,10.0,10.4
13104,0,東京都,新宿区,2040年,368303,105.4,8.2,69.8,22.0,11.2,10.8
13104,0,東京都,新宿区,2045年,367108,105.1,8.2,68.5,23.3,11.3,12.0
13104,0,東京都,新宿区,2050年,364111,104.2,8.0,67.6,24.4,10.7,13.6
13105,0,東京都,文京区,2020年,240069,100.0,11.7,69.6,18.7,8.9,9.8
13105,0,東京都,文京区,2025年,250756,104.5,11.7,69.8,18.5,8.0,10.6
13105,0,東京都,文京区,2030年,258335,107.6,11.4,69.3,19.3,8.8,10.5
13105,0,東京都,文京区,2035年,264924,110.4,11.1,68.2,20.7,10.3,10.5
13105,0,東京都,文京区,2040年,269344,112.2,11.1,66.1,22.8,11.6,11.2
13105,0,東京都,文京区,2045年,271302,113.0,11.0,64.4,24.6,12.0,12.6
13105,0,東京都,文京区,2050年,271626,113.1,10.8,63.2,26.0,11.5,14.5
13106,0,東京都,台東区,2020年,211444,100.0,8.8,68.3,22.9,10.9,12.0
13106,0,東京都,台東区,2025年,221041,104.5,8.8,69.3,22.0,9.0,12.9
13106,0,東京都,台東区,2030年,228076,107.9,8.6,69.4,22.0,9.6,12.3
13106,0,東京都,台東区,2035年,234343,110.8,8.4,68.4,23.3,11.5,11.7
13106,0,東京都,台東区,2040年,239478,113.3,8.3,66.3,25.4,13.4,12.0
13106,0,東京都,台東区,2045年,242867,114.9,8.2,64.7,27.1,13.7,13.4
13106,0,東京都,台東区,2050年,244549,115.7,8.0,63.4,28.6,13.1,15.5
13107,0,東京都,墨田区,2020年,272085,100.0,10.3,67.6,22.1,10.5,11.6
13107,0,東京都,墨田区,2025年,280430,103.1,10.2,68.5,21.3,8.8,12.5
13107,0,東京都,墨田区,2030年,286049,105.1,10.0,68.7,21.3,9.1,12.2
13107,0,東京都,墨田区,2035年,290958,106.9,9.8,67.9,22.3,10.8,11.6
